time,dt,error,p,i,d
1763500376.917026,0.05809426307678223,[-0.10073891 -0.04855073],[-0.06044334 -0.02913044],[-0.05115576  0.05432654],[ 0.02506753 -0.14643493]
1763500376.9744322,0.05740618705749512,[-0.09963684 -0.052436  ],[-0.0597821 -0.0314616],[-0.06316728  0.04800522],[ 0.04223491 -0.14889671]
1763500377.0337374,0.05930519104003906,[-0.09940519 -0.05508734],[-0.05964312 -0.03305241],[-0.0755473   0.04114459],[ 0.00859325 -0.09835483]
1763500377.0909705,0.05723309516906738,[-0.10078125 -0.05416667],[-0.06046875 -0.0325    ],[-0.08766014  0.03463433],[-0.05289465  0.03539018]
1763500377.1481583,0.057187795639038086,[-0.10134912 -0.05316798],[-0.06080947 -0.03190079],[-0.0998316   0.02824915],[-0.02184564  0.03841926]
1763500377.2068124,0.058654069900512695,[-0.1030725  -0.05100168],[-0.0618435  -0.03060101],[-0.11252741  0.0219671 ],[-0.06464081  0.08125381]
1763500377.2661252,0.05931282043457031,[-0.10614028 -0.04469414],[-0.06368417 -0.02681648],[-0.12574791  0.01640013],[-0.11378847  0.2339559 ]
1763500377.3243883,0.05826306343078613,[-0.10859375 -0.03913689],[-0.06515625 -0.02348213],[-0.13903462  0.01161164],[-0.09264248  0.20984053]
1763500377.383229,0.05884075164794922,[-0.11063752 -0.03534997],[-0.06638251 -0.02120998],[-0.15270561  0.0072436 ],[-0.07641469  0.14158911]
1763500377.4425762,0.05934715270996094,[-0.11584821 -0.02529761],[-0.06950892 -0.01517857],[-0.16714366  0.00409078],[-0.19316021  0.37264128]
1763500377.501714,0.059137821197509766,[-0.1208776  -0.01503061],[-0.07252656 -0.00901836],[-0.18215538  0.00222414],[-0.1870996   0.38194521]
1763500377.558907,0.05719304084777832,[-0.12553878 -0.00217314],[-0.07532327 -0.00130388],[-0.19723326  0.00196313],[-0.17929791  0.49457821]
1763500377.6167705,0.057863473892211914,[-0.12757916  0.00458253],[-0.0765475   0.00274952],[-0.21273583  0.00251997],[-0.07757657  0.25685416]
1763500377.6743164,0.05754590034484863,[-0.13171563  0.01811177],[-0.07902938  0.01086706],[-0.22865319  0.00470871],[-0.15813859  0.51722749]
1763500377.7325466,0.05823016166687012,[-0.13464069  0.03517291],[-0.08078442  0.02110374],[-0.2451175   0.00900977],[-0.11051209  0.6445887 ]
1763500377.791923,0.05937647819519043,[-0.13620691  0.05086206],[-0.08172415  0.03051723],[-0.26210122  0.0153518 ],[-0.0580311   0.58130984]
1763500377.8519835,0.06006050109863281,[-0.13667841  0.05826797],[-0.08200705  0.03496078],[-0.27934007  0.02270096],[-0.01727079  0.27127674]
1763500377.908363,0.05637955665588379,[-0.13549147  0.07301954],[-0.08129488  0.04381172],[-0.29538186  0.03134626],[0.04631599 0.57562417]
1763500377.9664357,0.058072566986083984,[-0.13258929  0.08779761],[-0.07955358  0.05267857],[-0.31155144  0.04205339],[0.1099449  0.55984716]
1763500378.025684,0.05924844741821289,[-0.12757936  0.1       ],[-0.07654761  0.06      ],[-0.32742509  0.05449556],[0.18602786 0.4530964 ]
1763500378.08521,0.05952596664428711,[-0.12122579  0.10888789],[-0.07273547  0.06533274],[-0.34257886  0.06810704],[0.2348194  0.32848469]
1763500378.1418703,0.05666017532348633,[-0.11796875  0.115625  ],[-0.07078125  0.069375  ],[-0.35661553  0.08186484],[0.12646413 0.26158816]
1763500378.199738,0.05786776542663574,[-0.11003528  0.12667338],[-0.06602117  0.07600403],[-0.36998727  0.09725849],[0.30161251 0.42003414]
